review_rating,review_text,review_text_plus,review_text_minus
5,"Парню понравились кеды, не тяжелые, ровно в размер, спасибо большое!",,
5,Достоинства:Хорошие кеды! Сыну понравились! Спасибо .,,
1,Сегодня 4 декабря 2024г. Кеды порвались на сгибе. За месяц такого я не ожидал.,,
5,"Достоинства:Отличные,можные стильные
Недостатки:Пока нет,посмотрим как будут в носке",,
5,"Достоинства:Есть 46 размер!
Комментарий:Мужу подошли. Сели комфортно. Выкупили.",,
5,"Недостатки:Отличные кеды, но не подошёл размер. Перезаказали.",,
3,"Достоинства:хорошо прошить, нестандартный дизайн. Все хорошо, но... подошва дубовая
Недостатки:Подошва дубовая",,
5,"Достоинства:Классные, но промахнулась с размером.",,
5,Достоинства:Качественные и комфортные.,,
5,"Достоинства:Топ за свои деньги, подошва отлично моется
Недостатки:Подошва сжимается при носке, остаются складки",,
5,Недостатки:Большемерят ((( а так красивые,,
5,Достоинства:Очень качественные 😍👍,,
5,"Очень понравиличь, сын доволен",,
5,"Достоинства:Качество хорошее.
Недостатки:Маломерят",,
4,Недостатки:Пустая подошва,,
2,Маскот нынче не тот.,,
5,"Достоинства:Сыну понравились, но нужно брать на размер побольше. Посмотрим, может разносятся",,
5,"Достоинства:Удобные и живучие
Недостатки:Немного мнут ногу на сгибе, но это моя особенность ног)
Комментарий:Отличные кеды на осень, удобные, с толстой подошвой и главное живучие. Не страшны ни дождь, ни слякоть.",,
4,Достоинства:Неплохой вариант за свои деньги,,
5,"На узкую ногу, сделаны качественно.",,
5,"Размеру соответствует, сидит на узкой мужской ноге хорошо…пока непрошелся по пунтку вб. Верхняя часть кед в районе носка сильно давит на пальцы ног. Поэтому отказ. Выполнены кеды хорошо.",,
5,"Достоинства:Очень хорошее качество, удобные, лёгкие. Возможно, немного большемерят: на полноценный 41 размер ногой ботинки 41 оказались большеваты",,
5,"Достоинства:Легкие, удобные. Есть подпятник.",,
5,Достоинства:На 42 беру размер 43,,
5,"Достоинства:Замечательные
Недостатки:Нет
Комментарий:Красивые и удобные. Мужу очень понравились",,
5,"Достоинства:Вполне неплохо
Недостатки:При ходьбе загибается возле пальцев и давит
Комментарий:Смотрятся хорошо",,
3,Недостатки:Большемерят на размер,,
5,Недостатки:Маломерят,,
1,Недостатки:Нос кросовка сильно жмёт пальцы,,
5,"Достоинства:Легкие, хорошо сели на подростка на кзкую ногу, стельки вынимаются Посмотрим как будут в носке, но внешне асе супер!",,
3,Достоинства:Внешний вид топ ! При ходьбе не удобные !,,
5,"Отличная обувь, рекомендую",,
5,Отличная обувь.,,
5,"Красивые. Маломерят, перезакажу",,
5,"Отличного качества кеды, аккуратно прокленны. Все соответствует заявленному описанию товара. Размеру тоже соответствуют. Спасибо Mascotte!",,
5,"Не знаю как будут в эксплуатации, но внешний вид, исполнение и удобство на 💯 %. Почти невесомые!!!",,
4,"Маломерят, перезаказать размеров нет!",,
5,"Сыну понравились из всей обуви ,что заказали, смотрятся не просто и за белой подошвы , можно и со спортивной одеждой и джинсами, ноге удобно , в размер , у кого высокий взьем то подойдет , к качеству претензий тоже нет , сделаны хорошо",,
4,Легкие и красивые. Но подошва не гнется,,
5,Хорошо. Доволен.,,
5,Подошва крепковата,,
5,Кеды классные. Но ни на какую широкую ногу! Мне сбоку давят.,,
5,Кеды огонь!!! Мужу понрпвились очень,,
5,Кеды классные!!!👍,,
5,"Тяжеловатые но качество супер, возврат потому что велики",,
3,Большемерят и нет там никакой амортизационной стельки... Жёсткие,,
5,Хорошие кеды за такую цену,,
5,"Хорошего качества кеды, не взяла размер не подошёл, перезаказала на размер меньше. Ребёнку очень понравились.",,
5,Классные кеды! Удобные!,,
5,"Отличные кеды ,подходят под все!",,
5,"Качество хорошее, сшиты добротно и ровно, немного не подошли по размеру.",,
5,"Очень симпатичные кеды. Легкие, достаточно мягкие. Качественно сделаны. Размер соответствует. Надеюсь в носке хорошо себя покажут.",,
3,Подошва очень жесткая… Не удобные,,
3,"Я не забрал, смотряться не очень, и на изгибе очень грубые, за эту цену заказал намного дучшего качества",,
5,Отличные лёгкие летние кеды. Рекомендую,,
1,Сделал возврат деньги не вернул,,
5,Понравились 🔥,,
5,"Смотрятся очень хорошо. Размер не подошёл, с ортопедической стелькой.",,
5,Кеды огонь. Правла разносить надо. Не удобные в первой носке.,,
5,"Кроссовки, супер! Легкие, стильные, комфортные в носке, на широкую ногу, муж доволен! Подошва супер белая, ровная, смотрится офигенно👍👍",,
5,"Хорошие. Не для спорта, на каждый день",,
5,"Кеды в которых идеально все😍 Муж в восторге. Очень удобные, не тяжелые, никаких клеевых полосок и заломов. Размер соответсвует заявленной сетке продавца, всё хорошо упаковано. Цена просто подарок за такое качество 🔥",,
5,"Очень хорошие кроссовки, мягкие и удобные",,
5,"Хорошие кеды, мужу очень понравились!",,
5,"Изумительные кеды! Очень удобные. Нигде не трут и не жмут. Взяла на размер больше так как не люблю, чтобы обувь сжжимала ногу. Сели идеально! Это любовь!",,
5,Очень классные!!!,,
3,"Классные кеды, удобно сидят на широкой ноге. НО очень больно в них ходить, при сгибании сильно давит на пальцы",,
5,"Кеды классные, но не подошли по размеру",,
5,"Отличные по качеству, на свой 39, заказала 40, оказались большие. Отказ",,
5,На вид хорошие .,,
5,Снала хотел здать обратно. Уж больно было ходить. На сгибе пальцем ног давила складка. Сейчас все ок.,,
5,Классные кеды,,
4,"Дизайн это плюс, но материал искусственный. Нога потеет. Наверное максимум до +15. Потом ад. Качество впринципе хорошее в целом",,
5,Очень хорошие !!!,,
5,"Кеды классные,в размер.Заказали за 2800,пока доставили цена стала 4600 ,возврат,это перебор",,
5,Смотрятся стильно и дорого. Но сын выбрал более лёгкий вариант на лето,,
4,"Сидят они очень хорошо на ноге, но очень сильно пачкаются!",,
5,"Размер соответствует, очень лёгкие и удобные.",,
3,Ноги от них болят,,
