review_rating,review_text,review_text_plus,review_text_minus,review_text_comment
5,"Достоинства:Кроссовки хорошие
Недостатки:Прислали не тот размер,возврат.",Кроссовки хорошие,"Прислали не тот размер,возврат.",Нет
1,"Достоинства:Кроссовки хорошие, теплые.
Недостатки:Пришли без стельки, одна на 2 пары
Комментарий:Делать возврат не стала.","Кроссовки хорошие, теплые.","Пришли без стельки, одна на 2 пары",Делать возврат не стала.
5,Достоинства:Хорошие зимние кроссовки. Всё понравилось.,Хорошие зимние кроссовки. Всё понравилось.,Нет,Нет
5,"Достоинства:Удобные
Комментарий:Мужу понравились",Удобные,Нет,Мужу понравились
5,"Достоинства:Супер!!!! Тёплые, лёгкие. На 44размер заказали 45. Подошли отлично. Рекомендую. Благодарю за быструю доставку","Супер!!!! Тёплые, лёгкие. На 44размер заказали 45. Подошли отлично. Рекомендую. Благодарю за быструю доставку",Нет,Нет
5,"Достоинства:Хорошие, муж доволен, маломерки на свой 42 взяли 43 чуток тесно но все равно взяли так как мех со временем уляжется, тёплые мягкие 👍","Хорошие, муж доволен, маломерки на свой 42 взяли 43 чуток тесно но все равно взяли так как мех со временем уляжется, тёплые мягкие 👍",Нет,Нет
5,Достоинства:Маловаты возврат.,Маловаты возврат.,Нет,Нет
4,"Достоинства:Красивые, сыну понравились
Недостатки:к сожалению, промокают","Красивые, сыну понравились","к сожалению, промокают",Нет
5,"Достоинства:Обувь хорощая,качество очень понравилось,но сильно маломерит.46 размер как на 44. Возврат.","Обувь хорощая,качество очень понравилось,но сильно маломерит.46 размер как на 44. Возврат.",Нет,Нет
5,"Достоинства:Отличного качества ботинки. Приемлемая цена.
Недостатки:Не обнаружил.
Комментарий:Ботинки очень тёплые. Аккуратно пошиты, подошва ПРОШИТА. Нет следов клея. Сын ходит уже вторую неделю - всё отлично, никаких нареканий. 👍🏼 Рекомендую!",Отличного качества ботинки. Приемлемая цена.,Не обнаружил.,"Ботинки очень тёплые. Аккуратно пошиты, подошва ПРОШИТА. Нет следов клея. Сын ходит уже вторую неделю - всё отлично, никаких нареканий. 👍🏼 Рекомендую!"
5,Достоинства:Классные ботинки. Но большемерят! Возврат.,Классные ботинки. Но большемерят! Возврат.,Нет,Нет
5,"Достоинства:Ботинки прям зима и мех и подошва
Недостатки:Не увидела
Комментарий:Советую парням 👍",Ботинки прям зима и мех и подошва,Не увидела,Советую парням 👍
5,Достоинства:Теплые удобные на ноге смот,Теплые удобные на ноге смот,Нет,Нет
5,"Достоинства:Очень хороши за свою стоимость
Недостатки:Нет.
Комментарий:Сынуля ,15 лет,доволен!",Очень хороши за свою стоимость,Нет.,"Сынуля ,15 лет,доволен!"
5,Достоинства:Хорошие красовки мужу понравились,Хорошие красовки мужу понравились,Нет,Нет
2,низкое качество без бирки и размера пришли другого цвета отказ,Нет,Нет,низкое качество без бирки и размера пришли другого цвета отказ
3,"Достоинства:Кроссовки классные , смотрятся прикольно , оставили даже с небольшим браком , язычок плохо пришит был , тк понравились , а спустя 14 дней начали протикать при чем не понятно откуда текут , подошва вроде целая ,а нога мокрая . Итог деньги на ветер","Кроссовки классные , смотрятся прикольно , оставили даже с небольшим браком , язычок плохо пришит был , тк понравились , а спустя 14 дней начали протикать при чем не понятно откуда текут , подошва вроде целая ,а нога мокрая . Итог деньги на ветер",Нет,Нет
4,Достоинства:Норм,Норм,Нет,Нет
5,"Хорошие, но мужу малы.",Нет,Нет,"Хорошие, но мужу малы."
5,"Достоинства:Качество хорошее, подошва мягкая гибкая, размер на 41 азяли 42
Недостатки:Клей видно и запах","Качество хорошее, подошва мягкая гибкая, размер на 41 азяли 42",Клей видно и запах,Нет
1,"Достоинства:Нет
Недостатки:Химозный дух сшибает с ног.",Нет,Химозный дух сшибает с ног.,Нет
5,"Достоинства:Хорошие теплые кроссовки
Недостатки:Никаких",Хорошие теплые кроссовки,Никаких,Нет
5,"Достоинства:Теплые, нескользкие за свою цену огонь","Теплые, нескользкие за свою цену огонь",Нет,Нет
5,"Достоинства:Размер подошёл, 44 вместо 43, качество неплохое, запаха химии нет, цена приемлема,хороший товар.","Размер подошёл, 44 вместо 43, качество неплохое, запаха химии нет, цена приемлема,хороший товар.",Нет,Нет
5,Достоинства:Очень лёгкие мужу понравились внутри тёплые,Очень лёгкие мужу понравились внутри тёплые,Нет,Нет
5,Достоинства:Отличное качество хорошо сидят на ногах,Отличное качество хорошо сидят на ногах,Нет,Нет
5,Достоинства:Просто пришли две модели одинаковые качество хорошее маломерят на один размер 44 подходят на 43.... Купили другие две модели. На работу носить можно....,Просто пришли две модели одинаковые качество хорошее маломерят на один размер 44 подходят на 43.... Купили другие две модели. На работу носить можно....,Нет,Нет
5,Достоинства:Очень удобные,Очень удобные,Нет,Нет
5,"На стопу 29.5 см комфортно 46 размер. Сделаны неплохо, главное, чтобы не расклеилась)",Нет,Нет,"На стопу 29.5 см комфортно 46 размер. Сделаны неплохо, главное, чтобы не расклеилась)"
5,"Достоинства:Теплые , лёгкие и удобные.","Теплые , лёгкие и удобные.",Нет,Нет
5,"Достоинства:Красивые, не подошли по размеру","Красивые, не подошли по размеру",Нет,Нет
5,"Достоинства:Хорошие,но не подошли","Хорошие,но не подошли",Нет,Нет
5,Достоинства:Хорошие но узкие,Хорошие но узкие,Нет,Нет
5,Достоинства:Класс,Класс,Нет,Нет
5,"Красовки подошли хорошо идут в размере я взял 46 с теплым наском отлично
Первоначальный отзыв",Нет,Нет,Красовки подошли хорошо идут в размере я взял 46 с теплым наском отлично
5,"Достоинства:хорошие кроссовки, но отказ в пользу других. Рекомендую","хорошие кроссовки, но отказ в пользу других. Рекомендую",Нет,Нет
5,Достоинства:Лёгкие. 46 на 45,Лёгкие. 46 на 45,Нет,Нет
5,Недостатки:не подошел размер,Нет,не подошел размер,Нет
3,"Достоинства:Цена
Недостатки:Промокают
Комментарий:Цена соответствует качеству",Цена,Промокают,Цена соответствует качеству
5,"Достоинства:Сыну подошли на 42,5 взяли 44,сели норм,тёплые,лёгкие))","Сыну подошли на 42,5 взяли 44,сели норм,тёплые,лёгкие))",Нет,Нет
4,Отказ в пользу других кроссовок,Нет,Нет,Отказ в пользу других кроссовок
5,Достоинства:Кросовки классные смотрятся очень стильно.качество хорошее(единственное сильный запах резины)заказывали 45размер подошли идеально.сыну понравились.спасибо продавцу,Кросовки классные смотрятся очень стильно.качество хорошее(единственное сильный запах резины)заказывали 45размер подошли идеально.сыну понравились.спасибо продавцу,Нет,Нет
4,Недостатки:Запах!,Нет,Запах!,Нет
5,"Достоинства:Хорошая реплика
Недостатки:Нет
Комментарий:Всё нравится",Хорошая реплика,Нет,Всё нравится
5,Достоинства:Размер соответствует. Качественные тёплые красотки. Лёгкие. Удобные. Сын доаолен,Размер соответствует. Качественные тёплые красотки. Лёгкие. Удобные. Сын доаолен,Нет,Нет
5,Достоинства:Нормальные посмотрим в деле,Нормальные посмотрим в деле,Нет,Нет
5,"Возврат потому что размер велик, заказал по меньше размером",Нет,Нет,"Возврат потому что размер велик, заказал по меньше размером"
5,"Достоинства:Цена - качество
Комментарий:У нас дороже продают на рынке и обувных магазинах",Цена - качество,Нет,У нас дороже продают на рынке и обувных магазинах
5,Достоинства:На 45.5 брал 46. Подошли идеально. С виду и удобству понравились. Как носиться будет посмотрим.,На 45.5 брал 46. Подошли идеально. С виду и удобству понравились. Как носиться будет посмотрим.,Нет,Нет
5,"Достоинства:Как и указано маломерят на один размер, лёгкие, на ноге сидят удобно, осталось проверить теплоту и на сколько хватит","Как и указано маломерят на один размер, лёгкие, на ноге сидят удобно, осталось проверить теплоту и на сколько хватит",Нет,Нет
5,,Нет,Нет,
5,"Недостатки:Классные и качественные, но мужу узкие, поэтому отказ",Нет,"Классные и качественные, но мужу узкие, поэтому отказ",Нет
5,Сыну понравились👍,Нет,Нет,Сыну понравились👍
1,Недостатки:Разные🤣..один больше другого...прикольно.. ждем холодов для испытаний,Нет,Разные🤣..один больше другого...прикольно.. ждем холодов для испытаний,Нет
1,"Достоинства:👍кроссовки крутые
Недостатки:Нет
Комментарий:👍👍👍",👍кроссовки крутые,Нет,👍👍👍
5,"Качество приемлемое,на сезон, надеюсь, хватит.",Нет,Нет,"Качество приемлемое,на сезон, надеюсь, хватит."
5,"Достоинства:Отличные,не подошли по размеру.","Отличные,не подошли по размеру.",Нет,Нет
5,"Достоинства:Классные кроссовки, все хорошо","Классные кроссовки, все хорошо",Нет,Нет
5,Достоинства:Отличные кросы! Всё прошить и проклеено!,Отличные кросы! Всё прошить и проклеено!,Нет,Нет
3,"Достоинства:Для редких выходов во двор или в магазин на свой 41 брал 44
Недостатки:На правом ботинке есть шов ближе к пятке, который доставляет не удобство.
Комментарий:На фото выглядят более аккуратными и компактными.",Для редких выходов во двор или в магазин на свой 41 брал 44,"На правом ботинке есть шов ближе к пятке, который доставляет не удобство.",На фото выглядят более аккуратными и компактными.
5,"Достоинства:Тёплые, классные прошитый кроссовки. Но мужу не понравилось что высокие. Возврат","Тёплые, классные прошитый кроссовки. Но мужу не понравилось что высокие. Возврат",Нет,Нет
