review_rating,review_text,review_text_plus,review_text_minus
5,"Хорошие бутсы, качественно пошиты.",,
1,"Достоинства:Красивые , Цвет.
Недостатки:Приехал не тот размер заказывал 38 приезали 35-37 спасибо у меня был испорчен день
Комментарий:Очень плохие",,
5,Ребенок счастлив,,
4,"Не тот размер, отказ",,
3,Недостатки:Жестковаты. Размер не подошел. Узкие в ширину,,
5,"Достоинства:Удобные не промокаемые
Недостатки:Не нашел
Комментарий:Бутсы афигенные! Удобные не промокаемые. Сыграл уже несколько тренеровок и доволен.",,
5,"Достоинства:просто очень хорошие
Недостатки:нету",,
5,"Достоинства:Хорошие
Недостатки:Не заметили.Отказ только потому что не подошли по размеру",,
1,"Недостатки:Не прошит нос, просто его клеем заклели
Комментарий:Красивые с виду и сидят не плохо",,
5,"Достоинства:Очень красивые
Недостатки:Не подошёл по размеру",,
3,"Достоинства:Цвет и цена - норм
Недостатки:Маломерят",,
5,Достоинства:Сын доволен👍,,
5,Достоинства:Сын доволен,,
5,"Достоинства:Хорошие бутсы. Пришли в пакете на зип замке. Без запаха. В отзывах пишут, что они малрмерки, но жто на плотную ногу. На узкую ногу идут в размер, даже с запасом. Взяли размер по отзывам, с запасом длины и на узкую ногу ребёнка они огромные. Поэтому возврат",,
1,"Достоинства:достоинств нету
Недостатки:сами бутсы это большой недостаток",,
1,"Достоинства:плюсов нету
Недостатки:не качественные и жёсткие бутсы , не советую",,
5,Достоинства:Офегеные,,
5,"Достоинства:Радости не было предела у сына, спасибо",,
2,"Достоинства:Лулк
Недостатки:Луоуо
Комментарий:Лалалалтаоатаь",,
5,"Достоинства:Бутсы легкие, удобно в них играть, на первой тренировке сын забил 4 гола!!!",,
1,Достоинства:жёсткие очень,,
5,Достоинства:Сын доволен,,
1,"Достоинства:нету
Недостатки:пришли не по размеру который написан, еще и плохого качества, не найк фантомы, а майк гробы пришли какие то",,
5,Хорошие.,,
5,Достоинства:Ребенку очень понравились. Качество супер👍🏻,,
5,"Достоинства:Довольны,спасибо.Рекомендую.",,
5,"Достоинства:Классные
Комментарий:Вообще не соответствуют размерной сетке.написано 36 на 21.5-22 см,а они полноразмерные 36",,
4,Достоинства:Аль Агь,,
5,Достоинства:Соответствует описанию и качество хорошее,,
5,"Достоинства:Сын доволен как слон.Советую к покупке.
Недостатки:-",,
5,"Достоинства:Понравились, но ошиблись размером. Перезаказали",,
5,Достоинства:Пушка,,
5,"Достоинства:Прикольные, но на ноге не сели, увы",,
5,Достоинства:Имба,,
